"FIPS","County","State","Pop.in.Juvenile.Facilities..2010.","Pop.in.Mental..psych..hosp..2010.","ST.inpt.days.psych..2019.","ST.inpt.days.rehab..2019.","LT.inpt.days.gen.med..2019.","LT.inpt.days.in.psych..2019.","LT.inpt.days.rehab..2019.","Emergency.dept.visits..2019.","X3.yr.suicides..2017.2019.","Pop.est..2019.","Census.pop..2010.","Median.age..2010.","pct.white..2010.","pct.black..2010.","pct.am.ind..2010.","pct.asian..2010.","pct.PI..2010.","pct...2.race..2010.","pct.other..2010.","pct.urban.pop..2010.","med.HH.income..2019.est.","persons.in.poverty..2019.est.","no.HH..2010.","X..single.parent.HH..2010.","pct.25..hs.dip..15.19.","pct.25..hs.dip.or.mas..15.19.","pct.25..4yr.college..15.19.","no_obs","skateparks","Name","Deaths","Population","CrudeRate"
48355,"Nueces","TX",136,0,0,11154,0,0,0,197697,54,362294,340223,35.1,81.5,4,0.6,1.7,0.1,2.4,9.6,93.6,56079,58465,124587,18387,17.2,82.8,21.8,3,3,"Nueces County, TX",59760,7464037,"800.6"
48357,"Ochiltree","TX",0,0,0,0,0,0,0,3157,NA,9836,10223,31.8,85.6,0.4,1,0.3,0,2.3,10.4,86.1,62567,1115,3617,431,25.6,74.4,15.6,1,1,"Ochiltree County, TX",1727,216895,"796.2"
48359,"Oldham","TX",250,0,0,0,0,0,0,0,NA,2112,2052,34.4,90.2,3,0.6,0.8,0,1.5,3.9,0,59404,245,691,49,9.7,90.3,22,NA,0,"Oldham County, TX",353,45700,"772.4"
48361,"Orange","TX",11,0,0,0,0,0,0,0,17,83396,81837,38.6,86.1,8.5,0.5,1,0.1,1.7,2.1,64.8,62976,10307,31031,3844,12.1,87.9,15.5,NA,0,"Orange County, TX",20442,1834351,"1114.4"
48363,"Palo Pinto","TX",0,0,0,0,0,0,0,18836,NA,29189,28111,40.3,87.1,2.2,0.7,0.5,0,1.8,7.6,49.8,50159,4960,10871,1218,15.8,84.2,16.6,1,1,"Palo Pinto County, TX",7323,613593,"1193.5"
48365,"Panola","TX",0,0,0,0,0,0,0,9815,NA,23194,23796,38.9,76.8,16.3,0.4,0.3,0,1.8,4.5,27.3,56882,3266,9271,1047,17.1,82.9,16.1,NA,0,"Panola County, TX",5986,513865,"1164.9"
48367,"Parker","TX",28,0,0,5423,0,0,0,26856,24,142878,116927,38.9,91.4,1.6,0.8,0.5,0,1.8,3.8,43.9,82501,11524,42069,3844,11.4,88.6,26.4,4,4,"Parker County, TX",20759,2520084,"823.7"
48369,"Parmer","TX",0,0,0,0,0,0,0,2048,NA,9605,10269,31.9,77.6,1.2,1,0.2,0.2,2.1,17.7,40,50607,1123,3413,347,29.2,70.8,17.9,NA,0,"Parmer County, TX",1768,219549,"805.3"
48371,"Pecos","TX",0,0,0,0,0,0,0,7254,NA,15823,15507,36.6,79.4,3.7,0.8,0.5,0,2.1,13.5,60.2,52763,2562,4894,641,30.9,69.1,9.8,NA,0,"Pecos County, TX",2698,347750,"775.8"
48373,"Polk","TX",0,0,0,0,0,0,0,26480,13,51353,45413,42.9,77.3,11.5,1.9,0.4,0,1.7,7.2,22.4,50416,7839,16503,1784,18.4,81.6,13.1,1,1,"Polk County, TX",13695,1013878,"1350.8"
48375,"Potter","TX",0,0,0,7344,0,0,0,137614,30,117415,121073,33,69.8,10.2,0.8,4,0.1,3,12.1,91,41138,22514,42933,6830,23,77,14.9,2,2,"Potter County, TX",26782,2614034,"1024.5"
48377,"Presidio","TX",0,0,0,0,0,0,0,0,NA,6704,7818,38.5,85.9,0.6,0.7,1,0,1.9,9.9,59.5,33499,1286,2906,353,46.6,53.4,21.2,NA,0,"Presidio County, TX",987,161489,"611.2"
48379,"Rains","TX",0,0,0,0,0,0,0,0,NA,12514,10914,45.8,91.2,2.3,1,0.5,0,1.6,3.4,6.8,65657,1667,4377,419,14.6,85.4,13.7,NA,0,"Rains County, TX",2824,239324,"1180.0"
48381,"Randall","TX",142,0,0,0,0,0,0,0,31,137713,120725,35.3,88.9,2.4,0.7,1.4,0,2.2,4.4,85.6,70694,12178,47975,4563,7.7,92.3,32.4,2,2,"Randall County, TX",20224,2644844,"764.7"
