FIPS,psych.st,rehab.st,genhosp.lt,psych.lt,rehab.lt,popjuvy.10,poppsych.10,psych.st.days,rehab.st.days,genhosp.lt.days,psych.lt.days,rehab.lt.days,er.visits,suicides.17.19,pop,pop.10,medage.10,percwhite.10,percblack.10,percamind.10,percasian.10,percpi.10,perctwoormore.10,percother.10,percurban.10,medhhincome,personsimpoverished,households.10,singleparenthouseholds.10,perclessthanhs.15,percwithhsormore.15,fouryearscollege.15,skateparks,perchisp.10,impoverishedpc
48159,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10725,10605,42.1,86.5,3.9,0.7,0.5,0,1.8,6.6,30.9,50630,1528,4159,445,8.7,91.3,26.6,1,8.4,0.142470862
48161,0,0,0,0,0,29,0,0,0,0,0,0,7999,NA,19717,19816,40.9,73.1,16.1,0.7,0.3,0,1.6,8.1,33.5,52511,2801,7259,684,17.4,82.6,15.3,0,9.8,0.142060151
48163,0,0,0,0,0,0,0,0,0,0,0,0,11346,NA,20306,17217,32.3,77.4,3.4,0.5,2.1,0,2,14.6,77.8,40360,4664,4854,836,33.8,66.2,7.3,0,16.6,0.229685807
48165,0,0,0,0,0,0,0,0,0,0,0,0,5520,NA,21492,17526,28.4,84,1.7,0.6,0.3,0,2,11.4,37,67171,2820,5606,514,38.2,61.8,11.4,0,13.4,0.131211614
48167,0,0,0,0,0,132,0,0,0,0,0,0,97013,54,342139,291309,37.2,72.5,13.8,0.6,3,0.1,2.7,7.4,93.9,73214,38181,108969,13002,11,89,31.1,2,10,0.111594995
48169,0,0,0,0,0,61,0,0,0,0,0,0,0,NA,6229,6461,33.7,82.8,6.5,0.6,0.1,0,1.2,8.8,77.7,48975,1067,1671,204,38.4,61.6,13.9,0,10,0.171295553
48171,0,0,0,0,0,0,0,0,0,0,0,0,14746,NA,26988,24837,49.6,91.3,0.4,0.6,0.4,0,1.2,6.1,46.3,62143,2271,10572,713,11,89,32.2,1,7.3,0.08414851
48173,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1409,1226,38.2,85.2,1.2,0.3,0.1,0.2,1.2,11.8,0,93759,111,441,19,30.6,69.4,27.2,0,13,0.078779276
48175,0,0,0,0,0,9,0,0,0,0,0,0,0,NA,7658,7210,45.7,83.7,4.8,0.7,0.2,0,2.4,8.3,0,56758,1011,2868,258,17,83,17.3,0,10.6,0.132018804
48177,0,0,0,0,0,0,0,0,0,0,0,0,8927,NA,20837,19807,37.2,71.5,7.4,1,0.4,0,2.2,17.5,34.7,48425,3325,7120,957,23.3,76.7,13.1,0,19.7,0.159571915
48179,0,0,0,0,0,4,0,0,0,0,0,0,11695,NA,21886,22535,38.8,81.5,4.9,0.9,0.4,0,2.4,9.9,80.6,52543,2888,8443,901,19.8,80.2,13.9,1,12.3,0.131956502
48181,0,1,0,0,0,0,0,0,8049,0,0,0,92389,29,136212,120877,39.5,83.9,5.9,1.5,0.9,0,2.7,5.2,56.8,57439,15459,46905,5289,11.3,88.7,20.4,3,7.8,0.113492203
48183,2,0,0,0,0,42,0,13360,0,0,0,0,39241,20,123945,121730,35.3,67.3,20,0.6,1.1,0,2.3,8.7,86.6,53137,19832,45798,6046,15.9,84.1,21.3,1,11,0.160006454
48185,0,0,0,0,0,0,0,0,0,0,0,0,6258,NA,28880,26604,40,73,16.5,0.5,0.2,0,2.2,7.6,31.1,51651,4119,8902,1024,19.4,80.6,15.7,3,9.8,0.142624654
48187,0,0,0,0,0,32,0,0,0,0,0,0,33202,19,166847,131533,36.4,79.8,6.5,0.7,1.4,0.1,3,8.4,73.8,78801,12234,45762,5345,11.3,88.7,28.2,4,11.5,0.073324663
48189,1,0,0,0,0,10,0,4221,0,0,0,0,14740,NA,33406,36273,32.2,70.8,5.3,1,0.4,0.1,2.9,19.6,76.9,49187,5483,11846,1749,23.4,76.6,17.1,0,22.4,0.164132192
48191,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2964,3353,43.5,76.9,7.2,0.8,0.1,0.1,1.6,13.4,0,35940,739,1372,132,20.4,79.6,15.9,0,14.9,0.249325236
48193,0,0,0,0,0,0,0,0,0,0,0,0,5936,NA,8461,8517,46.7,92.9,0.5,0.8,0.4,0,1,4.3,35.6,52505,1185,3442,276,16,84,22.4,1,5.4,0.140054367
48195,0,0,0,0,0,0,0,0,0,0,0,0,1543,NA,5399,5613,35.5,81.8,0.6,0.9,0.3,0,2.3,14.1,59.7,58703,622,2006,164,32.2,67.8,15.1,1,16.4,0.11520652
48197,0,0,0,0,0,0,0,0,0,0,0,0,1714,NA,3933,4139,42.7,85.5,5.9,0.6,0.3,0,2.6,5.1,0,40057,750,1722,201,21.1,78.9,13.7,0,7.7,0.190694127
48199,0,0,0,0,0,3,0,0,0,0,0,0,0,13,57602,54635,38.1,90.6,5.8,0.4,0.5,0,1.3,1.3,48.5,62616,6924,20462,2220,12,88,16.8,0,2.7,0.12020416
48201,11,7,0,1,0,872,245,307431,146015,0,21935,0,1925850,494,4713325,4092459,32.2,56.6,18.9,0.7,6.2,0.1,3.2,14.3,98.8,61638,701075,1435155,198864,18.6,81.4,31.5,21,17.5,0.148743191
48203,0,0,0,0,0,97,0,0,0,0,0,0,83832,10,66553,65631,37.4,68.6,21.9,0.7,0.5,0,1.7,6.5,43.9,55171,11600,24523,3144,14.7,85.3,19.1,0,8.3,0.174297177
48205,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5576,6062,39,87,6.9,0.4,0.5,0,1.1,4.1,42.7,72796,383,1771,123,17.4,82.6,17.8,2,5.2,0.068687231
48207,0,0,0,0,0,0,0,0,0,0,0,0,2647,NA,5658,5899,44.6,82.7,3.7,0.7,0.5,0,2.6,9.8,52.4,38613,1061,2297,211,29.7,70.3,11.9,0,12.4,0.187522093
48209,1,1,0,0,0,176,0,5937,12196,0,0,0,89223,31,230191,157107,30.4,80.7,3.5,0.8,1.2,0.1,2.8,11,68.3,72890,24895,55245,5126,9.9,90.1,37.2,5,13.7,0.108149319
48211,0,0,0,0,0,0,0,0,0,0,0,0,1471,NA,3819,3807,35.9,86.9,0.2,0.4,0.5,0.1,1.8,10.1,73,71299,344,1382,103,17.9,82.1,21.2,1,11.9,0.090075936
48213,0,0,0,0,0,0,0,0,0,0,0,0,48493,18,82737,78532,42.8,85.8,6.2,0.6,0.4,0,1.8,5.1,39.9,49896,14246,31020,3177,16.5,83.5,17.3,1,7,0.17218415
48215,0,1,0,0,0,213,0,0,8123,0,0,0,371796,56,868707,774769,28.3,88,0.6,0.3,1,0,1.3,8.8,94.9,41656,231032,216471,36532,34.3,65.7,18.7,5,10.1,0.265949279
48217,0,0,0,0,0,36,0,0,0,0,0,0,10844,10,36649,35089,41,83.5,6.3,0.5,0.3,0.1,2,7.2,23.7,53210,4700,13238,1333,16.5,83.5,17.4,0,9.3,0.128243608
48219,0,0,0,0,0,0,0,0,0,0,0,0,6503,NA,23021,22935,33.6,78.5,3.6,0.9,0.3,0,2.5,14.2,60.2,51149,3436,8242,1035,23.8,76.2,15.8,1,16.7,0.149255028
48221,0,0,0,0,0,67,0,0,0,0,0,0,22421,13,61643,51182,45.9,92.6,0.5,0.7,0.6,0.1,1.5,4.1,67.2,74534,5581,20795,1694,10.6,89.4,26.4,0,5.5,0.09053745
